id,area,name_pt,name_en,status
2209,portugal,"Taxa de abstenção nas eleições para o Parlamento Europeu: total, residentes em Portugal e residentes no estrangeiro",Abstention rate in the elections for the european parliament total residents in portugal and residents abroad,ok
547,portugal,Taxa de atividade: total e por sexo (%),Activity rate total and by sex (percentage),ok
631,portugal,Taxa de congestão nos tribunais (%),Congestion rate in courts (percentage),ok
2298,portugal,Taxa de crescimento do PIB em Portugal,Real gdp growth rate,ok
550,portugal,Taxa de desemprego em Portugal: total e por sexo,Unemployment rate total and by sex (percentage),ok
651,portugal,Dados sobre a taxa de divórcio em Portugal,Crude divorce rate,ok
918,portugal,Taxa de eficácia nos tribunais (%),Backlog rate in courts (percentage),ok
3827,portugal,Taxa de emprego: total e por grupo etário (%),Employment rate total and by age group (percentage),ok
3464,portugal,Taxa de emprego: total e por nível de escolaridade completo (%),Employment rate total and by highest level of education completed (percentage),ok
549,portugal,Taxa de emprego em Portugal: total e por sexo (%),Employment rate total and by sex (percentage),ok
618,portugal,Taxa de fecundidade geral em Portugal,General fertility rate,ok
415,portugal,Taxa de fecundidade por grupo etário,Fertility rate by age group,ok
790,portugal,Taxa de inatividade: total e por sexo (%),Inactivity rate total and by sex (percentage),ok
2315,portugal,Evolução da inflação em Portugal,Inflation rate (growth rate consumer price index) total and individual consumption by purpose,ok
2360,portugal,Taxa de intensidade da pobreza,Relative median at risk of poverty gap,ok
2920,portugal,Taxa de investimento das empresas não financeiras: total e por dimensão,Investment rate in non financial enterprises total and by dimension,ok
2919,portugal,Taxa de investimento das empresas não financeiras: total e por setor de atividade,Investment rate in non financial enterprises total and by sector of economic activity,ok
2934,portugal,Taxa de investimento das pequenas e médias empresas não financeiras: total e por dimensão,Investment rate in non financial small and medium sized enterprises total and by size,ok
2887,portugal,Taxa de mortalidade das empresas: total e por forma jurídica,Enterprises' death rate total and by legal form,ok
2888,portugal,Taxa de mortalidade das empresas: total e por setor de atividade económica,Enterprises' death rate total and by sector of economic activity,ok
528,portugal,Taxa de mortalidade infantil em Portugal,Infant mortality rate,ok
619,portugal,Taxa de mortalidade materna em Portugal,Maternal mortality rate,ok
529,portugal,Taxa de mortalidade perinatal e neonatal,Perinatal and neonatal mortality rates,ok
2883,portugal,"Taxa de natalidade, mortalidade e sobrevivência das empresas",Birth death and survival rates of enterprises,ok
2884,portugal,Taxa de natalidade das empresas: total e por forma jurídica,Enterprises' birth rate total and by legal form,ok
2885,portugal,Taxa de natalidade das empresas: total e por setor de atividade económica,Enterprises' birth rate total and by sector of economic activity,ok
530,portugal,Dados sobre a taxa de nupcialidade em Portugal,Crude marriage rate,ok
3666,portugal,Taxa de ocupação nos hospitais,Hospitals bed occupancy rate,ok
2340,portugal,Dados da taxa de poupança das famílias em Portugal,Savings rate of households,ok
3787,portugal,Taxa de privação material severa,Severe material and social deprivation rate,ok
2358,portugal,Taxa de privação material severa,Severe material deprivation rate (2004 2020),ok
921,portugal,Taxa de resolução nos tribunais (%),Clearance rate in courts (percentage),ok
3507,portugal,Taxa de retenção e desistência no ensino básico: total e por ano de escolaridade,Retention and desistance rate in primary and lower secondary education total and by school years,ok
3511,portugal,"Taxa de retenção e desistência no ensino secundário: total, por modalidade de ensino e ano de escolaridade",Retention and desistance rate in upper secondary education total and by school years,ok
2399,portugal,Taxa de risco de pobreza: antes e após transferências sociais,At risk of poverty rate before and after social transfers,ok
3008,portugal,Taxa de risco de pobreza após transferências sociais: total e por composição do agregado doméstico privado,At risk of poverty rate after social transfers total and by household type,ok
3760,portugal,Taxa de risco de pobreza após transferências sociais: total e por condição perante o trabalho,At risk of poverty rate after social transfers by work situation,ok
3009,portugal,Taxa de risco de pobreza por grupo etário: antes e após transferências sociais,At risk of poverty rate by age group before and after social transfers,ok
2891,portugal,Taxa de sobrevivência das empresas a 1 ano: por setor de atividade económica,Enterprises' survival rate at 1 year total and by sector of economic activity,ok
2890,portugal,Taxa de sobrevivência das empresas a 1 e 2 anos: por forma jurídica,Enterprises' survival rate at 1 and 2 years total and by legal form,ok
987,portugal,Taxa real de escolarização,Actual schooling rate,ok
2847,portugal,Taxas de juro sobre novas operações de empréstimos (média anual) a empresas: total e por escalão de crédito,Interest rates on new loan operations (annual average) to enterprises total and by credit scales,ok
2845,portugal,Taxas de juro sobre novas operações de empréstimos (média anual) a particulares: total e por tipo de finalidade,Interest rates on new loan operations (annual average) to individuals total and by purpose type,ok
2803,portugal,Taxas de rendibilidade de obrigações do tesouro em Portugal,Return rate of treasury bonds,ok
592,portugal,Teatro: espectadores por mil habitantes,Theatre audience per thousand inhabitants,ok
597,portugal,Teatro: número médio de espectadores por sessão,Theatre average audience per performance,ok
392,portugal,Teatro: receitas de bilheteira,Theatre box office revenue,ok
183,portugal,Teatro: sessões e espectadores,Theatre performances and audiences,ok
1339,portugal,Temperatura máxima do ar no mês mais quente do ano (média mensal),Maximum air temperature in the hottest month of the year (monthly average),ok
1068,portugal,Temperatura máxima do ar,Maximum air temperature (yearly average),ok
1067,portugal,Temperatura média anual do ar,Average air temperature,ok
1340,portugal,Temperatura mínima do ar no mês mais frio do ano (média mensal),Minimum air temperature in the coldest month of the year (monthly average),ok
1069,portugal,Temperatura mínima do ar,Minimum air temperature,ok
3343,portugal,Terra arável com culturas temporárias sucessivas (%),Arable land with successive temporary crops (percentage),ok
986,portugal,"Títulos em língua portuguesa: total, originais e traduzidos",Titles in portuguese total originals and translated,ok
847,portugal,Trabalhadores do sexo feminino em % dos trabalhadores por conta de outrem: total e por tipo de contrato,Female employees as a percentage of employees total and by contract type,ok
846,portugal,Trabalhadores do sexo feminino por conta de outrem: total e por tipo de contrato,Female employees total and by contract type,ok
845,portugal,Trabalhadores do sexo masculino por conta de outrem: total e por tipo de contrato,Male employees total and by contract type,ok
2996,portugal,Trabalhadores no setor público empresarial,Workers in the corporate public sector,ok
3811,portugal,Trabalhadores por conta de outrem por nível de escolaridade e setores de atividade (%),Employees highest level of education and by sector of economic activity,ok
1386,portugal,Trabalhadores por conta de outrem: total e por nível de escolaridade completo,Employees total and by highest level of education completed,ok
844,portugal,Trabalhadores por conta de outrem em Portugal,Employees total and by contract type,ok
1719,portugal,Trabalhadores por conta própria como empregadores: total e por nível de escolaridade completo,Employers total and by highest level of education completed,ok
