id,area,name,fontes,ultima_atualizacao,url,removed,featured
3641,europa,Intensidade das emissões atmosféricas da indústria,Eurostat | Entidades Nacionais | PORDATA,2026-01-14,https://www.pordata.pt/europa/intensidade+das+emissoes+atmosfericas+da+industria-3641,,
3269,europa,Intensidade elétrica da economia: por tipo de setor consumidor,Eurostat | Institutos Nacionais de Estatística | AIE | UNECE | Entidades Nacionais | PORDATA,2026-03-03,https://www.pordata.pt/europa/intensidade+eletrica+da+economia+por+tipo+de+setor+consumidor-3269,,
3268,europa,Intensidade elétrica da economia,Eurostat | Institutos Nacionais de Estatística | AIE | UNECE | Entidades Nacionais | PORDATA,2026-03-03,https://www.pordata.pt/europa/intensidade+eletrica+da+economia-3268,,
3267,europa,Intensidade energética da economia: por tipo de setor consumidor,Eurostat | Institutos Nacionais de Estatística | AIE | UNECE | Entidades Nacionais | PORDATA,2026-03-03,https://www.pordata.pt/europa/intensidade+energetica+da+economia+por+tipo+de+setor+consumidor-3267,,
3271,europa,Intensidade energética da economia,Eurostat | Institutos Nacionais de Estatística | AIE | UNECE | Entidades Nacionais | PORDATA,2026-03-03,https://www.pordata.pt/europa/intensidade+energetica+da+economia-3271,,
3283,europa,Intensidade energética de produção de renováveis da economia,Eurostat | Institutos Nacionais de Estatística | AIE | UNECE | Entidades Nacionais | PORDATA,2026-03-03,https://www.pordata.pt/europa/intensidade+energetica+de+producao+de+renovaveis+da+economia-3283,,
3226,europa,Investigadores (ETI) em atividades de investigação e desenvolvimento (I&D) nas empresas: total e por área científica,Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-21,https://www.pordata.pt/europa/investigadores+(eti)++em+atividades+de+investigacao+e+desenvolvimento+(i+d)++nas+empresas+total+e+por+area+cientifica-3226,,
3225,europa,Investigadores (ETI) em atividades de investigação e desenvolvimento (I&D): total e do setor empresas,Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-21,https://www.pordata.pt/europa/investigadores+(eti)+em+atividades+de+investigacao+e+desenvolvimento+(i+d)+total+e+do+setor+empresas-3225,,
1427,europa,Investigadores (ETI) em atividades de investigação e desenvolvimento (I&D): total e por área científica,Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-21,https://www.pordata.pt/europa/investigadores+(eti)+em+atividades+de+investigacao+e+desenvolvimento+(i+d)+total+e+por+area+cientifica-1427,,
1424,europa,Investigadores (ETI) em atividades de investigação e desenvolvimento (I&D): total e por setor de execução,Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-21,https://www.pordata.pt/europa/investigadores+(eti)+em+atividades+de+investigacao+e+desenvolvimento+(i+d)+total+e+por+setor+de+execucao-1424,,
3181,europa,Investimento das empresas: por alguns setores de atividade económica,Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-14,https://www.pordata.pt/europa/investimento+das+empresas+por+alguns+setores+de+atividade+economica-3181,,
1542,europa,Investimento: Formação Bruta de Capital Fixo (Euro),Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-03-03,https://www.pordata.pt/europa/investimento+formacao+bruta+de+capital+fixo+(euro)-1542,,
3568,europa,Investimento: Formação bruta de capital fixo em % do PIB,Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-01-14,https://www.pordata.pt/europa/investimento+formacao+bruta+de+capital+fixo+em+percentagem+do+pib-3568,,
2678,europa,Investimento: Formação Bruta de Capital Fixo por setor institucional (Euro),Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-01-21,https://www.pordata.pt/europa/investimento+formacao+bruta+de+capital+fixo+por+setor+institucional+(euro)-2678,,
3186,europa,Investimento médio por empresa: por alguns setores de atividade económica,Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-20,https://www.pordata.pt/europa/investimento+medio+por+empresa+por+alguns+setores+de+atividade+economica-3186,,
2026,europa,Limiar de risco de pobreza (Euro),Eurostat | Entidades Nacionais | PORDATA,2026-03-16,https://www.pordata.pt/europa/limiar+de+risco+de+pobreza+(euro)-2026,,
2027,europa,Limiar de risco de pobreza (PPC),Eurostat | Entidades Nacionais | PORDATA,2026-03-16,https://www.pordata.pt/europa/limiar+de+risco+de+pobreza+(ppc)-2027,,
3067,europa,Limite de taxa de álcool no sangue,Eurostat | Entidades Internacionais | Entidades Nacionais | Comissão Europeia | PORDATA,2025-10-30,https://www.pordata.pt/europa/limite+de+taxa+de+alcool+no+sangue-3067,,
3066,europa,Limites de velocidade: dentro das localidades e autoestradas,Eurostat | Entidades Internacionais | Entidades Nacionais | Comissão Europeia | PORDATA,2025-12-18,https://www.pordata.pt/europa/limites+de+velocidade+dentro+das+localidades+e+autoestradas-3066,,
3355,europa,Magistrados Judiciais por 100 mil habitantes,Eurostat | UNODC | Entidades Nacionais | NU | Institutos Nacionais de Estatística | PORDATA,2026-07-10,https://www.pordata.pt/europa/magistrados+judiciais+por+100+mil+habitantes-3355,,
3302,europa,Magistrados judiciais: total e por sexo,Eurostat | UNODC | Entidades Nacionais | PORDATA,2026-04-29,https://www.pordata.pt/europa/magistrados+judiciais+total+e+por+sexo-3302,,
1926,europa,Médicos por 100 mil habitantes,Eurostat | OMS | OCDE | Entidades Nacionais | NU | Institutos Nacionais de Estatística | PORDATA,2026-07-15,https://www.pordata.pt/europa/medicos+por+100+mil+habitantes-1926,,
1277,europa,Médicos: por algumas especialidades,Eurostat | OMS | OCDE | Entidades Nacionais | PORDATA,2026-07-24,https://www.pordata.pt/europa/medicos+por+algumas+especialidades-1277,,
1913,europa,Médicos: total e por sexo,Eurostat | OMS | OCDE | Entidades Nacionais | PORDATA,2026-07-15,https://www.pordata.pt/europa/medicos+total+e+por+sexo-1913,,
3578,europa,Mercadorias transportadas por ferrovia e navegação interior (%),Eurostat | International Transport Fórum (ITF) | UNECE | Direção-Geral da Mobilidade e dos Transportes da Comissão Europeia | PORDATA,2026-03-05,https://www.pordata.pt/europa/mercadorias+transportadas+por+ferrovia+e+navegacao+interior+(percentagem)-3578,,
